"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "JavaScript", "comment", "blank", "total"
"d:\Development\cobalt\src\server\helpers\captcha.ts", "TypeScript", 0, 19, 0, 0, 0, 1, 20
"d:\Development\cobalt\src\server\helpers\categories.ts", "TypeScript", 0, 24, 0, 0, 0, 2, 26
"d:\Development\cobalt\src\server\helpers\products.ts", "TypeScript", 0, 7, 0, 0, 0, 2, 9
"d:\Development\cobalt\src\server\payments\impl\tebex\api-client.ts", "TypeScript", 0, 157, 0, 0, 0, 10, 167
"d:\Development\cobalt\src\server\payments\impl\tebex\index.ts", "TypeScript", 0, 50, 0, 0, 0, 4, 54
"d:\Development\cobalt\src\server\payments\index.ts", "TypeScript", 0, 82, 0, 0, 1, 9, 92
"d:\Development\cobalt\src\server\payments\providers.ts", "TypeScript", 0, 11, 0, 0, 0, 2, 13
"d:\Development\cobalt\src\server\redis\index.ts", "TypeScript", 0, 42, 0, 0, 0, 6, 48
"d:\Development\cobalt\src\server\settings.ts", "TypeScript", 0, 93, 0, 0, 3, 6, 102
"d:\Development\cobalt\src\styles\globals.css", "CSS", 0, 0, 82, 0, 0, 4, 86
"d:\Development\cobalt\src\test.ts", "TypeScript", 0, 194, 0, 0, 0, 3, 197
"d:\Development\cobalt\src\trpc\query-client.ts", "TypeScript", 0, 22, 0, 0, 2, 2, 26
"d:\Development\cobalt\src\trpc\react.tsx", "TypeScript JSX", 56, 0, 0, 0, 12, 11, 79
"d:\Development\cobalt\src\trpc\schema\products.ts", "TypeScript", 0, 64, 0, 0, 0, 8, 72
"d:\Development\cobalt\src\trpc\server.ts", "TypeScript", 0, 20, 0, 0, 4, 7, 31
"d:\Development\cobalt\src\types\checkout.ts", "TypeScript", 0, 15, 0, 0, 0, 2, 17
"d:\Development\cobalt\src\types\index.ts", "TypeScript", 0, 56, 0, 0, 12, 16, 84
"d:\Development\cobalt\src\types\settings.ts", "TypeScript", 0, 58, 0, 0, 0, 9, 67
"d:\Development\cobalt\src\types\skins.ts", "TypeScript", 0, 39, 0, 0, 0, 2, 41
"d:\Development\cobalt\src\utils\helpers\checkout.ts", "TypeScript", 0, 4, 0, 0, 0, 3, 7
"d:\Development\cobalt\src\utils\helpers\products.ts", "TypeScript", 0, 143, 0, 0, 8, 10, 161
"d:\Development\cobalt\src\utils\markdown.tsx", "TypeScript JSX", 21, 0, 0, 0, 0, 1, 22
"d:\Development\cobalt\src\utils\server\helpers.ts", "TypeScript", 0, 57, 0, 0, 0, 4, 61
"d:\Development\cobalt\src\utils\server\orders.ts", "TypeScript", 0, 31, 0, 0, 2, 7, 40
"d:\Development\cobalt\src\utils\supabase\client.ts", "TypeScript", 0, 8, 0, 0, 0, 1, 9
"d:\Development\cobalt\src\utils\supabase\middleware.ts", "TypeScript", 0, 32, 0, 0, 24, 7, 63
"d:\Development\cobalt\src\utils\supabase\server.ts", "TypeScript", 0, 33, 0, 0, 4, 3, 40
"Total", "-", 7141, 2554, 86, 51, 386, 800, 11018
